tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,peak_search
tt5232792,tvSeries,Lost in Space,Lost in Space,0,2018.0,2021.0,60,"Adventure,Drama,Family",7.3,113224,100.0
tt31510819,tvSeries,MobLand,MobLand,0,2025.0,,50,"Crime,Drama",8.3,113108,100.0
tt27995114,tvSeries,Dept. Q,Dept. Q,0,2025.0,,60,"Crime,Drama,Mystery",8.1,112562,100.0
tt9544034,tvSeries,The Family Man,The Family Man,0,2019.0,,45,"Action,Comedy,Crime",8.7,112495,100.0
tt7949218,tvSeries,See,See,0,2019.0,2022.0,60,"Action,Drama,Sci-Fi",7.6,110705,100.0
tt21209876,tvSeries,Solo Leveling,Ore dake reberu appu na ken,0,2024.0,,,"Action,Adventure,Animation",8.5,110467,100.0
tt2934286,tvSeries,Halo,Halo,0,2022.0,2024.0,60,"Action,Adventure,Sci-Fi",7.3,110137,100.0
tt8064302,tvSeries,Dead to Me,Dead to Me,0,2019.0,2022.0,30,"Comedy,Crime,Drama",7.9,110104,100.0
tt5691552,tvSeries,The Orville,The Orville,0,2017.0,2022.0,45,"Adventure,Comedy,Sci-Fi",8.0,109105,100.0
tt5189670,tvSeries,Making a Murderer,Making a Murderer,0,2015.0,2018.0,60,"Crime,Documentary",8.5,108155,100.0
tt3007572,tvSeries,Locke & Key,Locke & Key,0,2020.0,2022.0,48,"Drama,Fantasy,Horror",7.3,107612,100.0
tt10813940,tvSeries,Ginny & Georgia,Ginny & Georgia,0,2021.0,,,"Comedy,Drama",7.5,107570,100.0
tt10293938,tvSeries,Outer Banks,Outer Banks,0,2020.0,2026.0,50,"Action,Crime,Drama",7.5,106783,100.0
tt14186672,tvSeries,Landman,Landman,0,2024.0,,60,"Crime,Drama,Western",8.2,106471,100.0
tt19244304,tvSeries,It: Welcome to Derry,IT: Welcome to Derry,0,2025.0,,60,"Fantasy,Horror",7.9,105923,100.0
tt3530232,tvSeries,Last Week Tonight with John Oliver,Last Week Tonight with John Oliver,0,2014.0,,30,"Comedy,News,Talk-Show",8.8,105204,100.0
tt8421350,tvSeries,Manifest,Manifest,0,2018.0,2023.0,43,"Drama,Mystery,Sci-Fi",7.0,104492,100.0
tt35495073,tvSeries,Heated Rivalry,Heated Rivalry,0,2025.0,,50,"Drama,Romance,Sport",8.8,103955,100.0
tt13623632,tvSeries,Alien: Earth,Alien: Earth,0,2025.0,,55,"Horror,Sci-Fi,Thriller",7.1,103817,100.0
tt1831164,tvSeries,Leyla and Mecnun,Leyla ile Mecnun,0,2011.0,2023.0,90,"Adventure,Comedy,Drama",9.0,103699,100.0
tt5114356,tvSeries,Legion,Legion,0,2017.0,2019.0,60,"Action,Sci-Fi,Thriller",8.1,103562,100.0
tt13309742,tvSeries,Blue Eye Samurai,Blue Eye Samurai,0,2023.0,,45,"Action,Adventure,Animation",8.7,103527,100.0
tt2788432,tvSeries,American Crime Story,American Crime Story,0,2016.0,2021.0,42,"Biography,Crime,Drama",8.4,102476,100.0
tt1561755,tvSeries,Bob's Burgers,Bob's Burgers,0,2011.0,,22,"Animation,Comedy",8.2,102269,100.0
tt13616990,tvSeries,Chainsaw Man,Chainsaw Man,0,2022.0,2022.0,24,"Action,Animation,Comedy",8.3,102053,100.0
tt18335752,tvSeries,1923,1923,0,2022.0,2025.0,60,"Drama,Western",8.3,101940,100.0
tt7134908,tvSeries,Elite,Élite,0,2018.0,2024.0,60,"Crime,Drama,Thriller",7.1,101564,100.0
tt8806524,tvSeries,Star Trek: Picard,Star Trek: Picard,0,2020.0,2023.0,46,"Action,Adventure,Drama",7.5,101449,100.0
tt8714904,tvSeries,Narcos: Mexico,Narcos: México,0,2018.0,2021.0,60,"Biography,Crime,Drama",8.3,101432,100.0
tt2249007,tvSeries,Ray Donovan,Ray Donovan,0,2013.0,2020.0,60,"Crime,Drama",8.3,99487,100.0
tt18923754,tvSeries,Daredevil: Born Again,Daredevil: Born Again,0,2025.0,,60,"Action,Crime,Drama",8.1,98808,100.0
tt4288182,tvSeries,Atlanta,Atlanta,0,2016.0,2022.0,30,"Comedy,Drama,Music",8.6,98464,100.0
tt6524350,tvSeries,Big Mouth,Big Mouth,0,2017.0,2025.0,30,"Animation,Comedy,Romance",7.8,98275,100.0
